Length,Supp1,Supp2
601.4,598,601.6
601.6,599.8,600.4
598,600,598.4
601.4,599.8,600
599.4,600,596.8
600,600,602.8
600.2,598.8,600.8
601.2,598.2,603.6
598.4,599.4,604.2
599,599.6,602.4
601.2,599.4,598.4
601,599.4,599.6
600.8,600,603.4
597.6,598.8,600.6
601.6,599.2,598.4
599.4,599.4,598.2
601.2,599.6,602
598.4,599,599.4
599.2,599.2,599.4
598.8,600.6,600.8
601.4,598.8,600.8
599,598.8,598.6
601,599.8,600
601.6,599.2,600.4
601.4,599.4,600.8
601.4,600,600.8
598.8,600.2,597.2
601.4,600.2,600.4
598.4,599.6,599.8
601.6,599,596.4
598.8,599,600.4
601.2,599.8,598.2
599.6,600.8,598.6
601.2,598.8,599.6
598.2,598.2,599
598.8,600,598.2
597.8,599.2,599.4
598.2,599.8,599.4
598.2,601.2,600.2
598.2,600.4,599
601.2,600.2,599.4
600,599.6,598
598.8,599.6,597.6
599.4,599.6,598
597.2,600.2,597.6
600.8,599.2,601.2
600.6,599,599
599.6,599.6,600.4
599.4,600.4,600.6
598,600,599
600.8,599,602.2
597.8,599.6,599.8
599.2,599.4,599.8
599.2,599.2,601
600.6,597.8,601.6
598,600.4,601.6
598,599.6,600.2
598.8,600,601.8
601,600.8,601.2
600.8,600.4,597.6
598.8,599.4,599.8
599.4,599,602.8
601,598.4,600
598.8,599,599.6
599.6,599.6,602.2
599,598.8,603.8
600.4,599.2,603.6
598.4,599.6,601.8
602.2,598.6,602
601,599.8,603.6
601.4,599.6,600.8
601,599.2,600.2
601.2,599.6,600.4
601.4,600.2,600.2
601.8,599.8,602.2
601.6,599.6,598
601,600,598.4
600.2,599.6,600.8
599,599.2,602.8
601.2,598.6,597.6
601.2,599.6,601.6
601.2,601.2,603.4
601.2,599.6,597
601,600.2,599.8
601,600,597.8
601.4,600,602.4
601.4,599.4,602.2
598.8,599.8,600.6
598.8,599.2,596.2
598.8,599.6,602.4
598.2,599.4,601.4
601.8,600,599.2
601,600,601.6
601.4,599.2,600.4
601.4,599.4,598
599,599.6,601.2
601.4,599.8,604.2
601.8,599,600.2
601.6,599.6,600
601.2,599.4,596.8
