기간	자치구	세대	인구	인구	인구	인구	인구	인구	인구	인구	인구	세대당인구	65세이상고령자
기간	자치구	세대	합계	합계	합계	한국인	한국인	한국인	등록외국인	등록외국인	등록외국인	세대당인구	65세이상고령자
기간	자치구	세대	계	남자	여자	계	남자	여자	계	남자	여자	세대당인구	65세이상고령자
2021.3/4	합계	4,421,143	9,765,869	4,739,972	5,025,897	9,542,256	4,636,069	4,906,187	223,613	103,903	119,710	2.16	1,592,339
2021.3/4	종로구	73,652	154,318	74,561	79,757	145,512	70,666	74,846	8,806	3,895	4,911	1.98	27,776
2021.3/4	중구	63,267	131,943	64,274	67,669	122,858	59,853	63,005	9,085	4,421	4,664	1.94	24,225
2021.3/4	용산구	111,177	238,300	115,655	122,645	224,145	107,801	116,344	14,155	7,854	6,301	2.02	38,906
2021.3/4	성동구	134,620	294,140	143,055	151,085	287,820	140,290	147,530	6,320	2,765	3,555	2.14	46,053
2021.3/4	광진구	167,438	353,380	169,739	183,641	341,112	164,553	176,559	12,268	5,186	7,082	2.04	51,278
2021.3/4	동대문구	167,591	351,626	172,463	179,163	337,846	167,083	170,763	13,780	5,380	8,400	2.02	61,759
2021.3/4	중랑구	185,497	393,149	193,652	199,497	388,554	191,832	196,722	4,595	1,820	2,775	2.09	70,908
2021.3/4	성북구	195,099	441,717	212,069	229,648	432,628	208,592	224,036	9,089	3,477	5,612	2.22	74,235
2021.3/4	강북구	144,573	304,257	147,881	156,376	300,887	146,613	154,274	3,370	1,268	2,102	2.08	63,914
2021.3/4	도봉구	138,582	320,711	155,948	164,763	318,718	155,212	163,506	1,993	736	1,257	2.3	63,448
2021.3/4	노원구	217,269	517,038	248,908	268,130	513,053	247,118	265,935	3,985	1,790	2,195	2.36	87,537
2021.3/4	은평구	214,181	477,961	228,427	249,534	474,062	226,833	247,229	3,899	1,594	2,305	2.21	86,724
2021.3/4	서대문구	143,712	316,415	150,057	166,358	306,249	146,388	159,861	10,166	3,669	6,497	2.13	54,056
2021.3/4	마포구	179,541	379,525	177,861	201,664	369,903	174,119	195,784	9,622	3,742	5,880	2.06	54,260
2021.3/4	양천구	181,281	452,255	221,434	230,821	449,010	220,075	228,935	3,245	1,359	1,886	2.48	67,880
2021.3/4	강서구	270,389	581,265	279,783	301,482	575,875	277,388	298,487	5,390	2,395	2,995	2.13	91,505
2021.3/4	구로구	180,424	422,361	209,609	212,752	397,506	196,027	201,479	24,855	13,582	11,273	2.2	71,930
2021.3/4	금천구	116,545	244,887	124,282	120,605	230,644	116,588	114,056	14,243	7,694	6,549	1.98	40,691
2021.3/4	영등포구	186,360	401,814	199,388	202,426	377,536	186,414	191,122	24,278	12,974	11,304	2.03	62,108
2021.3/4	동작구	184,825	396,122	191,140	204,982	387,117	187,286	199,831	9,005	3,854	5,151	2.09	66,306
2021.3/4	관악구	276,182	501,572	251,277	250,295	488,029	245,220	242,809	13,543	6,057	7,486	1.77	79,444
2021.3/4	서초구	171,497	420,045	200,920	219,125	416,285	199,068	217,217	3,760	1,852	1,908	2.43	60,493
2021.3/4	강남구	234,218	538,075	257,524	280,551	533,359	255,264	278,095	4,716	2,260	2,456	2.28	77,222
2021.3/4	송파구	282,018	664,996	320,348	344,648	659,385	317,784	341,601	5,611	2,564	3,047	2.34	96,453
2021.3/4	강동구	201,205	467,997	229,717	238,280	464,163	228,002	236,161	3,834	1,715	2,119	2.31	73,228
