PLATE_NO,ROLLING_DATE,SCALE,SPEC,STEEL_KIND,PT_THICK,PT_WIDTH,PT_LENGTH,PT_WEIGHT,FUR_NO,FUR_NO_ROW,FUR_HZ_TEMP,FUR_HZ_TIME,FUR_SZ_TEMP,FUR_SZ_TIME,FUR_TIME,FUR_EXTEMP,ROLLING_TEMP_T5,HSB,ROLLING_DESCALING,WORK_GR
PB562774,2021-08-01:08:00:01,양품,AB/EH32-TM,T1,32.25,3707,15109,14180,1호기,1열,1144,116,1133,59,282,1125,934,적용,8,2조
PB562775,2021-08-01:08:07:11,양품,AB/EH32-TM,T1,32.25,3707,15109,14180,1호기,2열,1144,122,1135,53,283,1120,937,적용,8,2조
PB562776,2021-08-01:08:14:21,양품,NV-E36-TM,T8,33.27,3619,19181,18130,2호기,1열,1129,116,1121,55,282,1106,889,적용,8,3조
PB562777,2021-08-01:08:21:31,양품,NV-E36-TM,T8,33.27,3619,19181,18130,2호기,2열,1152,125,1127,68,316,1113,885,적용,8,3조
PB562778,2021-08-01:08:28:41,양품,BV-EH36-TM,T8,38.33,3098,13334,12430,3호기,1열,1140,134,1128,48,314,1118,873,적용,8,1조
PB562779,2021-08-01:08:35:51,양품,BV-EH36-TM,T8,38.33,3098,13334,12430,3호기,2열,1143,127,1128,57,314,1120,874,적용,8,4조
PB562780,2021-08-01:08:43:01,양품,BV-EH36-TM,T8,38.33,3099,16719,15590,1호기,1열,1138,126,1130,50,289,1118,878,적용,8,2조
PB562781,2021-08-01:08:50:11,양품,BV-EH36-TM,T8,38.33,3099,16719,15590,1호기,2열,1139,126,1131,52,294,1119,870,적용,8,4조
PB562782,2021-08-01:08:57:21,양품,BV-EH36-TM,T8,38.33,3099,16719,15590,2호기,1열,1127,126,1122,52,293,1112,873,적용,8,1조
PB562783,2021-08-01:09:04:31,양품,COMMON,T8,38.43,3129,16187,15280,2호기,2열,1135,119,1124,73,298,1110,881,적용,8,4조
PB562784,2021-08-01:09:11:41,양품,COMMON,T8,38.43,3129,16187,15280,3호기,1열,1127,134,1123,58,297,1116,869,적용,8,2조
PB562785,2021-08-01:09:18:51,불량,COMMON,T8,38.43,3129,16187,30560,3호기,2열,1131,120,1125,68,299,1115,1057,적용,8,2조
PB562786,2021-08-01:09:26:01,양품,COMMON,T8,38.43,3129,16187,15280,1호기,1열,1132,125,1127,62,290,1120,820,적용,8,3조
PB562787,2021-08-01:09:33:11,양품,COMMON,T0,30.23,1940,34797,16020,1호기,2열,1119,130,1120,65,324,1112,926,적용,8,4조
PB562788,2021-08-01:09:40:21,양품,GL-E32-TM,T1,34.28,2207,30543,18140,2호기,1열,1119,126,1119,72,311,1110,931,적용,8,3조
PB562789,2021-08-01:09:47:31,불량,GL-E32-TM,T1,50.46,2185,21767,37680,3호기,1열,1127,127,1123,71,312,1109,929,적용,5,2조
PB562790,2021-08-01:09:54:41,양품,GL-E32-TM,T1,50.46,2200,21756,37920,2호기,2열,1134,127,1124,92,329,1113,929,적용,6,2조
PB562791,2021-08-01:10:01:51,양품,GL-E32-TM,T1,50.46,2200,21756,37920,3호기,2열,1124,117,1124,87,315,1119,929,적용,6,3조
PB562792,2021-08-01:10:09:01,양품,GL-E32-TM,T1,50.46,2200,21756,37920,1호기,1열,1129,122,1125,78,313,1120,925,적용,6,2조
PB562793,2021-08-01:10:16:11,양품,GL-E32-TM,T1,50.46,2200,21756,37920,2호기,2열,1124,54,1127,78,312,1112,928,적용,6,2조
PB562794,2021-08-01:10:23:21,양품,BV-EH36-TM,T8,50.46,2000,24500,38820,1호기,2열,1110,123,1116,81,334,1105,860,적용,6,1조
PB562795,2021-08-01:10:30:31,양품,GL-E36-TM,T8,44.39,2040,27501,39100,2호기,1열,1114,64,1120,82,335,1113,836,적용,6,4조
PB562796,2021-08-01:10:37:41,양품,GL-E36-TM,T8,44.39,2040,27501,39100,3호기,1열,1113,124,1120,82,334,1113,832,적용,6,1조
PB562797,2021-08-01:10:44:51,양품,GL-E36-TM,T8,48.44,2095,24490,39020,3호기,2열,1118,71,1124,86,336,1113,832,적용,6,3조
PB562798,2021-08-01:10:52:01,양품,GL-E36-TM,T8,48.44,2095,24490,39020,1호기,1열,1117,69,1120,88,347,1114,832,적용,6,3조
PB562799,2021-08-01:10:59:11,양품,GL-E36-TM,T8,48.44,2000,25588,38920,1호기,2열,1108,62,1117,97,351,1109,841,적용,6,3조
PB562800,2021-08-01:11:06:21,양품,COMMON,T1,45.4,2150,18453,14140,2호기,1열,1123,62,1123,101,332,1115,933,적용,6,1조
PB562801,2021-08-01:11:13:31,양품,COMMON,T1,45.4,2150,18453,14140,2호기,2열,1132,70,1126,95,344,1117,933,적용,6,1조
PB562802,2021-08-01:11:20:41,양품,COMMON,T1,45.4,2150,18453,14140,3호기,1열,1129,43,1125,109,335,1112,937,적용,6,4조
PB562803,2021-08-01:11:27:51,양품,COMMON,T1,45.4,2090,18419,13720,3호기,2열,1134,70,1127,94,335,1115,930,적용,6,1조
PB562804,2021-08-01:11:35:01,양품,COMMON,T1,45.4,2090,18419,13720,1호기,1열,1124,78,1124,94,335,1118,936,적용,6,1조
PB562805,2021-08-01:11:42:11,양품,COMMON,T1,45.4,2090,18419,13720,1호기,2열,1126,74,1125,92,334,1110,933,적용,6,1조
PB562806,2021-08-01:11:49:21,양품,COMMON,T8,44.9,3125,14008,15430,2호기,1열,1111,61,1123,108,336,1117,838,적용,6,3조
PB562807,2021-08-01:11:56:31,양품,GL-E36-TM,T8,44.39,2495,15677,27260,2호기,2열,1133,75,1127,91,347,1121,837,적용,6,3조
PB562808,2021-08-01:12:03:41,양품,AB/EH36-TM,T8,51.27,3060,12407,15280,3호기,1열,1133,57,1125,103,339,1113,862,적용,6,4조
PB562809,2021-08-01:12:10:51,양품,AB/EH36-TM,T8,51.27,3060,12407,15280,3호기,2열,1127,63,1128,106,337,1122,862,적용,6,4조
PB562810,2021-08-01:12:18:01,양품,AB/EH36-TM,T8,51.27,3060,12407,15280,1호기,1열,1133,70,1126,91,337,1119,861,적용,6,2조
